en,ha
"Similarly, in the contemporary era, the brilliant name of the great Imam Khomeini is shining like a brilliant star at the forefront of the Islamic Revolution.",A wannan zamani na mu ma fitaccen suna mai haskakawa na Imam Khumaini mai girma ya kasance tamkar wani haske ne mai haskaka tarihin juyin juya halin Musulunci.
"During the revolutionary activities, I had the same problem with leftist and Marxist elements who were also involved in revolutionary activities. I used to highlight the importance of clarification, but they did not believe in clarification.","A lokacin gwagwarmaya ma sabanin da ya kunno kai tsakanin mu da ‘yan gurguzu da markisanci wadanda su ma a lokacin suke gwagwarmaya shi ne kan wannan lamari da muka ce wajibi ne a yi bayani, don su ba su yi amanna da karin haske da bayani ba."
Man would be in a dire situation in the absence of religion.,"Addini, imani da addini, lura da addini, abubuwa ne da suke lamunce sa'adar mutum."
This is our path.,Wannan shi ne tafarkin mu.
"Of course, the Americans are making a mistake.",Ko da yake tabbas Amurkawa kuskure suke yi.
"Elections are the manifestation of faith in God, because taking part in elections is a religious obligation.","Zabe alama ce ta dukkanin wadannan imani guda uku da suke tare da Imam wanda kuma wajibi ne su kasance tare da mu: wato alama ce ta imani da Allah, don kuwa wani taklifi ne."
"No, the agreement to recite Dua Kumeyl in Medina was reached in other negotiations. This agreement was a separate issue, which was settled after a lot of conflicts and groundwork.","A’a; yarjejeniyar gudanar da Du’a Kumail a wani wajen ne aka cimma ta. Wannan yarjejeniya ce ta daban, bayan dukkanin tattaunawa da rikici."
"3. Recommendations to find solutions and prevent these threats and harms. Regarding the first point, I believe the most important element in these revolutions is the actual and mass presence of people in the arena of action, struggle and jihad.","1- Dangane da batu na farko, a ra'ayina mafi muhimmanci dalilin wadannan juye-juye, shi kasantuwa ta hakika ta al'umma a fagen aiki da gwagwarmaya da jihadi, ba wai kawai da zukata da bukata da imaninsu ba, face dai baya ga hakan, da jiki da karfinsu."
"For 30 years they have been trying to use such levers against the Islamic Republic, and our laborers have made them disappointed each time.","Shekaru talatin kenan suke ta kokari wajen amfani da wannan hanya a kan Jamhuriyar Musulunci, sannan kuma shekaru talatin kenan ma'aikatan suke bada musu kasa a idanuwansu."
"Then he said, ""If people know the virtues of our words, they will obey us.""","Saboda idan mutane suka san maganganunmu, lalle za su bi mu"
The Leader of the Islamic Revolution said that the Shia faith in the appointment of Imam Ali (a.s.) as the Holy Prophet's (s.w.a.) successor is based on strong and indisputable reasons.,Jagoran juyin juya halin Musulunci ya bayyana imanin da mabiya tafarkin Shi'a suka yi dangane da kasantuwar Amirul Muminin (a.s) a matsayin magaji kuma halifan Manzon Allah (s.a.w.a) a bayansa da cewa lamari ne da ya ginu bisa karfafan dalilai da ba za a iya inkarinsu ba.
