en,sw
After a while I heard footsteps we all swarmed to have a look through a peephole to see what is going on then I have seen Mahlet being escorted to other cell….At that moment I felt a reflexive horror for my family since they would extremely be worried about my whereabouts and I felt my tears wetting my cheek.,"Baada ya muda kidogo, tulisikia mtu akitembea na ndipo sote tulikusanyika na kuchungulia kupitia kwenye kauwazi kadogo ili kujua kilichokuwa kikiendelea, nilipomuona Mahlet akipelekwa kwenye sero nyingine…. Katika hali ile, nilipata hisia kali ya kuogopesha kuhusu familia yangu kwani lazima walikuwa kwenye dibwi la hofu ya wapi nilikuwa, hapa nilijikuta nikitokwa na machozi."
Oh God!.,Mungu wangu mlikuwa hamjui?!
"On 5 February 2010 Aiuba Cuereneia, Minister for Planning and Development and the main government negotiator with the donors, sent a reply to the G19, setting out the government position and making few concessions.","Mnamo tarehe 5 Februari 2010 Aiuba Cuereneia, Waziri wa Mipango na Maendeleo na mjumbe wa serikali anayeshauriana na wafadhili, alituma majibu kwa G19, iliyoeleza msimamo wa serikali na kutoa masharti nafuu."
"Behind this young woman, who looks directly at the camera without a trace of shyness, there is a religious protester speaking of forgiveness and repentance.","Nyuma ya huyu mama kijana ambaye anaangalia kamera bila ya aibu, kuna mpingaji wa kidini anayezungumzia kusamehewa na kutubu."
"Israel has come into our homes, is fighting us in our streets and is expressing its brutality against us in full force.","Israeli imetuingilia majumbani, inapigana katika mitaa yetu na unaonyesha unyama wake dhidi kwa nguvu zote."
Clashes between gangs from the hills Morro São João and Morro dos Macacos on October 17th frightened the population.,"Tarehe 17 Oktoba, mapambano kati ya magenge yanayotokea vilima vya Morro Sao Joao na Morro dos Macacos yaliwatisha watu."
...the angkringan is in decline.,... vyakula vya angkringan vimepungua.
"If you are in Africa, write to the African Commission office in your country.","Kama uko Afrika, andika kwa Ofisi ya Tume ya Afrika nchini mwako."
In the market to buy or sell #Syria'n antiquities/antiques?,Uko sokoni kutafuta kununua au kuuza sarafu za Syria?
"Pernille shares photos of a building that collapsed in Dar Es Salaam, Tanzania on Friday, 29 March 20013: ""Nearby is a football field used by children.","Pernille anaweka picha mtandaoni zinazoonyesha ghorofa lililoporomoka jijini Dar Es Salaam, Tanzania siku ya Ijumaa, 29 Machi 20013: ""Karibu kabisa na jengo hilo kuna uwanja wa kandanda unaotumiwa na watoto."
This post is part of our special coverage of Bahrain Protests 2011/12.,Makala haya ni sehemu ya Habari zetu maalum ya Maandamano ya Bahrain 2011/12.
