ha,yo
"Abubuwa marasa kyau suna faruwa da mutanen kirki, amma Allah yana amfani da waɗannan munanan abubuwa don kyakkyawan ƙarshe.","2) Àwọn nǹkan burúkú máa ńṣẹlẹ̀ sí àwọn ẹni rere, ṣùgbọ́n Ọlọ́run ńlo àwọn nǹkan burúkú wọ̀nyìí fún rere, ní ìkẹhìn."
English,English
"Tun daga wannan lokacin, zunubi ya shiga cikin dukkan tsararrakin ɗan adam kuma mu, zuriyar Adamu, mun gaji zunubi daga wurinsa.","A jẹ́ ẹlẹ́sẹ̀ kìí se nítorí wípé a d'ẹ́ṣẹ̀; bíkòse wípé, a d'ẹ́ṣẹ̀ nítorípé ẹlẹ́ṣẹ̀ ni wá."
Tafkin wuta shine wurin yanke hukunci na dindindin kuma na karshe ga batattu.,"Àwọn Ìwé Mímọ́ mììrán nínú Màjẹ̀mú Titun fihàn wípé sheol/hades jẹ́ ibùgbé fún ìgbà díẹ̀, níbití a fi àwọn ọkàn pamọ́ sí bí wọ́n ṣé ńretí àjíǹde àti ìdájọ́ ìkẹhìn."
"Amsar ita ce wannan – gaskata cikin Ubangiji Yesu Kiristi kuma zaka sami ceto (Ayyukan Manzanni 16:31).” Amma duk iyakar wadanda suka karɓe shi, wato masu gaskatawa da sunansa, ya basu ikon zaman ƴaƴan Allah” (Yahaya 1:12).","“Sugbon iye awon ti o ba gba a, awon li o fi agbara fu lati di omo Olorun, a ni awon na ti o gba oruko re gbo (Johannu 1;12)."
"Amma, ba tare da la'akari da ƙaunar miji ko rashin sa ba, an umarci matar da ta yi biyayya “kamar yadda ga Ubangiji” (aya 22).","Ṣùgbọ́n kò níí fi ṣe ìfẹ́ ti ọkọ ní tàbí tí kò ní, a tí paá l'áṣẹ wípé kí ìyàwó kí ó tẹríba ""gẹ́gẹ́ bí í fún Olúwa"" (ẹsẹ 22)."
"Za a kuma yi yunwa da raurawar ƙasa a wurare dabam dabam.” Ƙaruwa almasihu na ƙarya, ƙaruwar yaƙi, ƙaruwa a cikin yunwa, annoba, da bala'o'i - waɗannan alamun ƙarshen zamani ne.","Àwọn Mesiah èké yóò pọ̀ si, ogun yóò pọ̀ si, àti ìyàn yóò pọ̀ si , àjàkálẹ́-àrùn àti ìsẹ́lẹ́ búburú—àwọn wọ̀nyìí jẹ́ àmì òpin ayé."
English,English
"Kalmar “gafara” ma’ana a goge allo tas, a yafe, a soke bashi.","Idariji je ipinnu lati ma ni ikunsinu si enikeni, lai ka iwa ti won ti wu si wa tele."
"duk ra'ayin da mutum yake da shi, abin da ke da muhimmanci shi ne ko ya dogara ga Kalmar Allah ta zama gaskiya ce kuma mai iko ce.","Ìpo yóòwù tí ènìyàn lè gbà, ohun tí ó ṣe kókó ni bóyá irúfẹ́ ẹni bẹ́ẹ̀ gbà wípé Ọ̀rọ̀ Ọlọ́run jẹ́ òtítọ́ àti wípé ó ní àṣẹ."
"Dalilin tsananin, dalilin fyaucewa, ma'anar 1 Tassalunikawa 5:9, da fassarar Wahayin Yahaya 3:10 duk suna ba da goyon baya sarai ga matsayin kafin fitina.","Ète ìpọ́njú náà, ète ìgbàsókè náà, ìtumọ̀ ìwé Tẹssalonika kínní 5:9 àti ìtumọ̀ ìwé Ifihan 3:10, ṣe àtìlẹhìn tí ó hàn kedere fún ipò ìgbàsókè wípé yóò ṣẹlẹ̀ ṣáájú ìpọ́njú wọlé."
"Abin al'ajabi shine Allah ya ba wa waɗanda suka karɓi dansa Yesu a matsayin mai ceton su ikon yin ƙauna kamar yadda yake yi, ta wurin ikon Ruhu Mai Tsarki (Yahaya 1:12, 1 Yahaya 3:1, 23-24).","Ní ọ̀nà tí ó yani lẹ́nu, Ọlọ́run ti fún àwọn tí ó gba Ọmọ Rẹ̀ gbọ́ gẹ́gẹ́ bíi Olùgbàlà wọn ní agbára láti ní ìfẹ́ bíi Òun, nípasẹ̀ agbára Èmí Mímọ́ (Johannu 1:12; 1 Johannu 3:1, 23-24)."
Hakanan babu sabani na kimiyya na gaskiya a cikin samari.,"Bẹ̀ẹ̀ sì ni, kò sí àtakò ìmọ̀-ìjìnlẹ̀ sáyẹ́ńsì tòótọ́ nínú ayé tí ó jẹ́ ọ̀dọ́."
Ibrahim ya tashi tsaye don taimakon Lutu ta hanyar tattara ƙwararrun mazaje na gidansa 318 kuma ya fatattaki Elam.,"Ábráhámù ṣe ìgbọ̀wọ́ fún Lọ́tì nípa kíkó àwọn ọmọ ọ̀dọ̀ rẹ̀ ọ̀rìndínírinwó (318) ènìyàn ó dín méjì tí a ti kọ́, tí ó sì ṣẹ́gun àwọn ará Élámù."
Me yasa tambayar kan gaskiyar shaidar Yesu tana da muhimmanci?,Ki lode ti ibere nipa Jesu fi je Pataki?
