yo,sw
A o si ri omiran ninu ile aye titun (Isaiah 11:6; 65:25).,Daar gaan definitief diere wees ten tye van die duisendjarige vrederyk (Jesaja 11:6; 65:25).
"Ìwé Romu 11:33 polongo wípé, ""Ah!","Romeine 11:33-34 roep uit, “o, Diepte van die rykdom en wysheid en kennis van God!"
Ààwẹ̀ gbígbá kìí ṣe ọ̀nà láti mú kí Ọlọ́run ṣe oun ti àwa bá fẹ́.,Kufunga sio njia ya kumfanya Mungu atende vile tunavyotaka.
English,English
"Èyí jẹ́ òfin lòdì sí mímú ohunkóhun tí kìí ṣe ti ara ẹni, láì gbà ìyọnda lọ́wọ́ ẹni tí ó ní.","Kutamani kunapelekea kufunja amri zimetajwa hapo juu: uuwaji, uzinzi, na wizi."
"Bíbélí náà ńkọ́ wa wípé ìfẹ́ kò jẹ́ ìmọ̀lára tí ó máa ńwá tàbì lọ, ṣùgbọ́n ìpinnu kan. A kò gbọ́dọ̀ ní ìfẹ́ àwọn tí o fẹ́ràn wa nìkan; a tún gbọ́dọ̀ fẹ́ràn àwọn tí ó kórira wa, ní ọ̀nà kan náà tí Kristi fi ńfẹ́ ẹni tí a kò lè fẹ́ràn (Luku 6:35).","Hatustahili kupenda wale wanaotupenda pekee; tunastahili kuwapenda hata wale wanaotuchukia, namna ile ile Kristo anawependa wasiopendeka (Luka 6:35)."
Pada si oju ewe Yorùbá,English
"Wọ́n tún fẹ́ ríi pé àwọn dúró lé àwọn onígbàgbọ́ lọ́rùn láti yípadà kí wọ́n síì gba ẹ̀sìn ""Àfikún ìgbàgbọ́"" wọ̀nyìí.",Pia walitafuta kuwalazimisha wakristo kuasi imani yao na kukubali kuwa “Ukristo pamoja na” dini.
"Ó jẹ́ ìwà tí ǹtẹ̀sìwájú, tí yóò di ìlànà ti ìhùwásí.","Ni nia inayoendelea, ambayo itakuwa mtindo wa tabia."
Májẹ̀mú Titun ní ọ̀pọ̀lọpọ̀ ìtọ́kàsi Jésù Kristi nínú.,Agano Jipya liko na ma mia ya marejeo  ya Yesu Kristo.
"To ba jebe, jowo te “Mo ti gba Kristi ni oni” ni abe.","Yesu alijibu swali hilo mwenyewe, “Upendo mkuu hakuna mwingine mwenye nao kama huu, kwamba atoe uhai wake kwa ajili ya rafiki” (Yohana 15:13)."
"Ní ìgbà ìpọ́njú náà, ogun búburú, ìyàn, àjàkálẹ̀ àrùn ati àdánù ńlá yóò wáyé.","Hiki kipindi cha miaka saba kinaitwa “matezo.” Wakati wa matezo kutakua na vita vya kuogofya, njaa, mapigo, na majanga."
"Bíbélì ṣe àkọsílẹ̀ àjíǹde Kristi, tí ó ṣe àkọsílẹ̀ pé àwọn ènìyàn tí ó lé ní irinwó (400) ló ṣe ẹlẹ́rìí rẹ̀, àwọn ènìyàn sí tẹ̀sìwájú láti kọ́ ẹ̀kọ́ Kristiẹni tí ó ṣe pàtàkì lórí ìtàn àjíǹde Kristi tí o jẹ́ òtítọ́.","Bibilia imenakili ufufuo wa Kristo, imenakili kwamba ilishuudiwa na watu saidi ya 400 na kuendelea kujenga funzo la Kikristo juu ya historia ya ufufuo wa Yesu."
He who loves his wife loves himself.,"Ẹnití ó bá fẹ́ràn aya rẹ̀, ó fẹ́ràn on tìkararẹ̀."
"Bí a kò bá máa ṣe ítumọ̀ Ìwé Mímọ́ pẹ̀lú ọ̀rọ̀ fún ọ̀rọ̀, kò lè sí ìpìlẹ̀ tí ó péye láti ní òye Bíbélì.","Kama fasiri ya neno kwa neno haitumiki katika kuchunguza maandiko, kwa hivyo hakuna kiwango kamili kinachotumika kuelewa Bibilia."
"Sugbon ki agba igbala, a ni lati gba Olorun gbo, ki a si sumo, yipada kuro ninu ese re, ki o si tele.","Kupokea wokovu, kama zawadi ya bure toka kwa Mungu, ni lazima tumtazame Yesu, na Yesu peke yake."
"Oluwa o da ile aye yi nikan, sugbon o tun fun wa ni ileri ayeraye si inu okan wa ( Oniwasu 3;11).",Mungu hakuumba tu ulimwengu mgumu kufafanua bali pia ameweka ndani ya moyo wa kila mwanadamu umilele (Mhubiri 3:11).
Èyí jẹ́ ìlànà kan tí ó gbọ́dọ̀ fìdí múlẹ̀ ṣáájú kí ìgbéyàwó náà ó tó bẹ̀rẹ̀.,Hii ni kanuni ambayo lazima iwe katika matendo kabla ya ndoa.
Awon kan si wa ninu igbeyawo naa ti won ko si ni jawo ninu ese naa.,Ni jambo la kusikitisha kuona kuwa talaka za wakristo zimekuwa nyingi karibu sawa na za wale wasioamini duniani kote.
Ikan lara ohun ti Bibeli fi je oro Olorun ni okan.,Hakuwezi kuwa na shaka katika swala la kuwa biblia ni neno la Mungu.
Ó ṣe déédé láti ní àwọn ìyeméjì.,Dit is normaal om te twyfel.
"Bibeli ko wa wipe, “Nitorina bi eyin ba nje, tabi bi enyin ba nmu, tabi ohunkohun ti eyin ba nse, e ma se gbogbo won fun ogo Olorun” (1 Korinti 10:31).","Biblia inatufundisha, “kwa hivyo mkila au mkinywa chochote mkifanyacho, kifanyeni kwa utukufu wa Mungu” (wakorintho wa kwanza 10:31)."
"Àwọn ènìyàn tí kò gbàgbọ́ nínú òtítọ́ pátápátá kọ ẹ̀yìn sí àwọn ìjẹ́wọ́ọ́ yìí, tí wọ́n sì gba ẹ̀kọ́ àgbáyé tí ó ṣé faramọ́ èyí tí ó kọ́ wa wípé gbogbo ẹ̀sìn jẹ́ ọ̀kan, àti wípé gbogbo ọ̀nà ló lọ sí ọ̀run.",Watu ambao hawamini kuwa kuna ukweli halisi wanapuuza madai haya na kukubali lili la kiulimwengu ambalo lafunza kuwa dini zote ni sawa na barabara zote zaelekea mbinguni.
Èyí ní ìpín tí ó dára jùlọ.,Hii ni sehemu muhimu sana.
Bibeli o ni pe ki awon obirn ma se ise ebun ti Emi Mimo fi fun won (1 Korinti ori 12).,Biblia haikatazi wanawake wasitumie vipawa vya Roho Mtakatifu (wakorintho wa kwanza 12).
"Níní ìbáṣepọ̀ pẹ̀lú Kristi nínú ikú Rẹ̀, àti àjíǹde nípasẹ̀ ìrìbọmi Ẹ̀mí ńfi ẹsẹ̀ ìpilẹ̀sẹ̀ fún ìyàsọ́tọ́ wa kúrò nínú agbára ẹ̀ṣẹ̀ tí ó ńgbé inú ẹni àti rírìn nínú ìgbé ayé ọ̀tun múlẹ̀ (Romu 6:1-10; Kolosse 2:12).",(Warumi 6:1-10; Wakolosai 2:12).
"Paulu wipe, ore-ofe nipa igbagbo nikan, Jakobu si wipe igbagbo ninu Kristi nipa ise rere.",Paulo asisitiza juu ya wokovu kupitia imani pekee huku yakobo akisisitiza kuwa imani juu ya kristo huleta matendo mema.
Ìjọ yẹ kí ó gbé ìhìnrere lárugẹ kí ó sì pèsè àwọn ọmọ rẹ̀ sílẹ̀ láti polongo ìhìnrere náà (1 Peteru 3:15).,Kanisa inastahili kutangaza injili na pia kutayarisha washirika wake kuitangaza injili (1 Petero 3:15).
Ọkàn àti ẹ̀mí jẹ́ abala méji pàtàkì tí kò ṣé e gbámú tí Ìwé Mímọ́ fi pe ẹ̀dá ènìyàn.,Nafsi na roho ni sehemu mbili muimu za mwili wa ndani ambazo Bibilia yaamini ni tabia kamili za mwanadamu.
"“Bi omo ile ijosin, ki o si ma gbo iwasu dede, ki  o si ma se ise ni ile ijosin, ko so e di Kristiani.",Imani yao haimo ndani ya kufuata dini ama kanuni Fulani za uadilifu ama miongozo ya kusema fanya hiki na usifanye kile.
