Idariji ko see fi eto gba tabi ti owo ra lati odo Olorun.,"Yesu alifufuka katika wafu, akishuhudia ushindi Wake juu ya dhambi na mauti (1 Wakorintho 15:1-28)."
"Nje ti enia ba ti ni igbala, se ayeraye ni?","Je, mtu akiokolewa, ameokolewa siku zote?"
"Ìfaradà ti di ọ̀rọ̀ pàtàkì kan fún àwùjọ tí ó tẹ̀lé èyí tí ó lajú, èyí nì nǹkan pátápátá, àti wípé nítorí náà, àìní-ìfaradà jẹ́ ibi kan ṣoṣo.","Wastani umekuwa maadili kuu ya kisasi cha jamii hii leo, uhalisi mmoja, na kwa hivyo, kutokuwa na kiasi ndio uovu peke."
"Adamu gbà Òun gbọ́, èyí tí ó farahàn nípasẹ̀ orúkọ tí ó fun Efa (ẹsẹ̀ 20) tí Olúwa si tọ́kasi ìtẹ́wọ́gbà lọ́gán nípasẹ̀ bíbò wọ́n pẹ̀lú ẹ̀wù awọ (ẹsẹ̀ 21).",Adamu alimwamini kupitia jina alilompa Hawa (aya 20) na Bwana akaonyesha kubali yake kwa kuifunika mili yao kwa ngozi (aya ya 21).
"Jésù sọ fún irú àwọn ènìyàn bẹ́ẹ̀, ""Ti èsù bàbá ni ẹ̀yin íṣe, ìfẹ́kùfẹ́ bàbá yín ni ẹ sì ńfẹ́ se"" (Johannu 8:44).","Yesu alisema kuhusu watu kama hao, “Ninyi ni wa baba yenu, Ibilisi, na tama za baba yenu ndizo mpendazo kuzitenda” (Yohana 8:44)."
"Bí Ọ̀rọ̀ Ọlọ́run bá ṣe yé wa sí, bẹ́ẹ̀ ni àwa yóò ṣe mọ ohun tí ó yẹ láti gbàdúrà fún (Johannu 15:7).","Tunavyo lielewa neno la Mungu zaidi, ndivyo tutakavyo jua chenye tutakavyo omba (Yohana 15:7)."
"Níwọ̀n ìgbà tí àwọn ibi wọ̀nyìí ti ju àwọn agbára wa láti ṣe àkíyèsi lọ, kò ṣeé fìdí rẹ̀ múlẹ̀ wípé Ọlórun kò sí.","Aangesien daardie plekke buite ons vermoë is om te ondersoek, kan dit derhalwe nie bewys dat God nie bestaan nie."
"Síbẹ̀, gẹ́gẹ́ bí àkọsílẹ̀ Bíbélì ìbáwí nípa nínà tọ́ àti wípé ìbáwí nípa nínà pẹ̀lú ìkóraẹni ní ìjánu jẹ́ nǹkan tí ó dára, tí ó sì fikún ìlera ara àti ìtọ́ni tó pé fún ọmọ.","Kulingana na Bibilia, ingawa, adhabu inayostahili na ambayo ni fimbo imezuiliwa na wengi ndio kitu kizuri na huchangia uuwaji wema wa mtoto na njia nzuri ya kumlea mtoto."
"Gẹ́gẹ́ bí àkọsílẹ̀ ti ìwé Romu 13:1-7, òbí gbọ́dọ̀ tẹríba fún ìjọba.","Kulingana na Warumi 13:1-7, wazazi wanastahili kuitii serikali."
"Wọ́n fẹ́ gbàgbọ́ nínú Ọlọ́run ""ìfẹ́"" (tí kìí dáni lẹ́jọ́) tí kìí mẹnubà ẹ̀ṣẹ̀ tí kìí sì bèèrè ìyípadà nínú ìgbé-ayé wọn.","Hulle wil glo in ‘n liefdevolle, nie-veroordelende God wat geen berou of verandering in hulle lewensstyl verwag nie."
"Satani, eni ti o joba okunkun aye, fi eyi si wa ni ori.","Ndiyo, Yesu ndiye njia ya pekee ya kukufikisha Mbinguni."
