ha,sw
"A cikin Littafi, duk lokacin da mutum ya roki Allah ma'anar wahayin, Allah ya tabbata an bayyana wa mutum (Daniyel 8:15-17).","Katika maandiko, popote mtu alimuuliza Mungu maana ya maono, Mungu aliakikisha ilielezeka kwa huyo mtu ( Danieli 8:15-17)."
"Bari mu duba yadda Littafi Mai-Tsarki ya kwatanta ƙauna, sannan kuma za mu ga fewan hanyoyi da Allah ne ainihin ƙauna.","Hebu tuweze kuangalia vile Bibilia inaelezea upendo, na kisha baadaye tutaangalia namna chache vile Mungu ni sehemu kuu ya upendo."
Zuwan Kristi na biyu zai zama dawowar Kristi don cika waɗannan annabce-annabcen da suka rage.,Kukuja mara ya pili kwa Kristo kutakuwa kurudi kwa Kristo  kutakuwa  kwa kutimiza unabii ule umepaki.
"Hakazalika, a cikin Tsohon Alkawari duka muna ganin hukuncin Allah da fushinsa a kan zunubi.","Njia hiyo sawa, katika Agano la Kale lote twaiona hukumu ya Mungu na ghadhabu zikimwagika juu ya dhambi."
Amsa,Jibu
Yesu bai yi masa gyara ba.,"Lakini ukitazama majibizano ya wayahudi dhidi ya maneno yake, “Hatukupigi mawe kwa sababu nyinginezo ila kwa hili, kukufuru."
Wani masanin ilimin tsirrai na kallon tuffa ya rarraba shi.,Mtalaamu wa mimea anayeliangalia analiweka katika kikundi.
"Wataƙila haka ne, Shin suna da haƙƙin damuwa?",Wako na haki ya kuhudhika?
Zaka iya karɓi rai madawwami a matsayin KYAUTAR baiwa.”Baiwar Allah ita ce rai madawwami ne cikin Kiristi Yesu Ubangijin mu” (Romawa 6:23).,"“zawadi anayotoa Mungu ni uhai wa milele katika kuungana na Kristo Yesu, Bwana wetu’’ (Warumi 6:23b, BHN)."
"Littattafai suna koyar da cewa duka mutane masu zunubi ne (Romawa 3:9-18, 23).","Maandiko yatufunza kwamba wote ni watenda dhambi (Warumi 3:9-18, 23)."
Duk matattu marasa imani suna zuwa can suna jiran hukuncinsu na ƙarshe a nan gaba.,Ndipo akatoa watakatifu wote waliokufa toka paradiso na kuwapeleka mbinguni.
Yesu ya ƙaunace mu har ya mutu don ɗaukar hukuncin zunubanmu (Romawa 6:23).,Anatupenda ya kutosha hadi kufa ili achukue hukumu ya dhambi zetu (Warumi 6:23).
Kyautar annabci ta ba wa masu imani damar sadarwa da sabuwar gaskiya da wahayi daga Allah.,Kipawa cha unabii kiliwawezesha Wakristo kutangaza ukweli mpya na ufunuo kutoka kwa Mungu.
"Idan kana son ka karɓi Yesu Kiristi a matsayin mai cetonka, ga samfurin addu’a anan.","Toba hii ni sharti iambatane na imani-tukimaanisha, imani yakuwa kifo cha Yesu cha kujitoa na ufufuo wake wa kimuujiza inamwidhinisha Yeye kuwa mwokozi wako."
"Ka'idar da ta dace ita ce, ya kamata matar ta yi biyayya ga Allah kuma ta miƙa kanta ga mijinta “kamar yadda ga Ubangiji” (Afisawa 5:22).",Kanuni inayo ambatana na hii ni kwamba mke lazima amuheshimu Mungu na kumtii mume wake “kama kwa Mungu” (Waefeso 5:22).
"Addu'ar ƙungiya tana da mahimmanci saboda yana haifar da haɗin kai (Yahaya 17:22-23), kuma shine maɓallin keɓaɓɓen masu bi na ƙarfafa juna (1 Tassalunikawa 5:11) da kuma ƙarfafa juna akan ƙauna da ayyukan kirki (Ibraniyawa 10:24).","Maombi ya pamoja ni muimu kwa sababu yajenga umoja (Yohana 17:22-23), na ni sehemu kuu kwa Wakristo kutiana moyo wao kwa wao (1 Wathesalonike 5:11) na kuwaelekeza kwa upendo na matendo mema (Waebrania 10:24)."
"Afisawa 2:8.9 ta bayyana, “ Domin ta wurin alheri ne aka cece ku saboda bangaskiya, wannan kuwa ba ƙoƙarin kanku bane, baiwa ce ta Allah, ba kuwa saboda aikin lada ba, kada wani yayi fariya.” Yayin da aka “cece” wani, an riga maya haifuwarsa/ta, sabuntawar ruhaniya, kuma yanzu ya zama ɗan Allah ta hakkin sabuwar haifuwa.","Hii ni zawadi kutoka kwa Mungu, si kwa matendo, ili mtu awaye yote asije akajisifu” (KCV)."
Littafi Mai Tsarki tana da iko na dabam wanda bai zama kamar wata littafin da aka taɓa rubutawa.,Biblia ina mamlaka kuliko vitabu vyovyote vyengine.
"A gaskiya, wasu nassoshi na zancen barasa cikin tabbatattun sharuɗɗa.",Maana maandiko mengine huzungumzia kileo kwa kuhalalisha  matumizi yake.
"Domin kuwa kamar yadda muke shan wuya ƙwarai, irin wadda Almasihu ya sha, haka kuma ake yi mana ta'aziyya ƙwarai, ta wurin Almasihu” (2 Korintiyawa 1:3-5).","“Mtumaini BWANA kwa moyo wako wote, Wala usizitegemee akili zako mwenyewe; Katika njia zako zote mkiri yeye, Naye atayanyosha mapito yako” (Mithali 3:5-6)."
"Duk nau'ikan wariyar launin fata, nuna wariya, da nuna wariya gaba ne ga aikin Kristi akan giciye.","Aina zote za ubaguzi wa rangi, uchochezi na kutenga wenginge ni chukizo kwa kazi ya Kristo msalabani."
Amsa,Jibu
Rashin yarda da Allah ba wani sabon ci gaba bane.,Ateïsme is nie iets nuuts nie.
Lokacin bikin Idin ketarewa ne a ranar jajibirin mutuwarsa ne Yesu ya kafa wani sabon muhimmin abincin tarayya wanda muke kiyayewa har zuwa yau.,Ilikuwa ni kwa sababu ya siku za kale za pasaka wakati wa kifo chake Yesu mwenyewe akaanzisha kakula cha ushirika mpya cha maana ambacho twakifuata hii leo.
Ko kaɗan ba haka bane.,La hasha.
"Bayan Yaƙin Duniya na II, lokacin da Majalisar Dinkin Duniya ta ba wa yahudawa wani yanki na ƙasar Isra’ila, ƙasar lokacin ta kasance Larabawa ne musamman (Falasɗinawa).","Baada ya vita vya II vya dunia, wakati nchi za Umoja wa Mataifa zilitoa sehemu ya ardhi ya Waisraeli na kuwapa Wayahudi, ardhi ilikuwa wakati huo ilikuwa imechukuliwa na Waarabu (Wapalestina)."
"Amma yayin da muke ƙoƙari don zurfafa bincike a ciki, ƙimar da za mu samu don ƙoƙarinmu.",Tunavyo zidi kutia bidii kuichimbua Bibilia tutapokea tuzo zaidi kwa bidii yetu.
Jininsa ne ya tsarkake kanmu daga zunubi (1 Yahaya 1:7-9).,"Alifanyika mwenye dhambi kwa ajili yetu; “Yeye asiyejua dhambi alimfanya kuwa dhambi kwa ajili yetu, ili sisi tupate kuwa haki ya Mungu katika Yeye” (2Wakorintho5:21)."
"Ana kwatancin jahannama da kamar rami marar matuƙa (Luka 8:31; Wahayin Yahaya 9:1), da kuma tafkin wuta , mai ƙonewa da farar wuta, inda mazauna zasu sha azaba dare da rana har abada da abadin (Wahayin Yahaya 20:10).","Jehanamu inaelezewa kama shimo la giza (Luka 8:31, Ufunuo wa Yohana 9:1), na ziwa la moto, liwakalo na kiberiti amabpo watakao kuwemo watateswa usiku na mchana milele na milele (Ufunuo 20:10)."
"Dalili mafi muhimmanci cewa da Yesu ya zama Allah ita ce idan Shi ba Allah bane, da mutuwar sa bata isa ta biya hukuncin na zunuban dukan duniya ba (1Yahaya 2:2).","Swala muhimu linalompasa Yesu kuwa Mungu ni kwamba, kama si Mungu, kufa kwake hakungetosha kufidia dhambi za ulimwengu wote (Yohana wa kwanza 2:2)."
"Idan haka ne, ba zaka yunwata da neman ma’ana ko manufa kuma ba.","Je, umelipa gharama?"
"A cikin yin haka, mace mai ibada na iya jawo ma mijinta mara imani ga Ubangiji “ba tare da magana” kawai ta ɗabi'unta mai tsarki (1 Bitrus 3:1).",Paulo baadaye anayafuatisha mawazo yake kuwa katika kuisha maisha ya kujazwa kwa Roho yanawapasa mume na mke katika aya ya 22-23.
"Domin ba wanda ya taɓa ƙin jikinsa, sai dai ya rene shi, ya yi tattalinsa, kamar yadda Almasihu yake yi wa Ikkilisiya” (Afisawa 5:28–29).","Maana hakuna mtu anayeuchukia mwili wake po pote; bali huulisha na kuutunza, kama Kristo naye anavyolitendea Kanisa” (Waefeso 5:28-29)."
"Littafi Mai-Tsarki ya furta cewa ana iya ganin Allah a sarari a sararin samaniya (Zabura 19:1-4), a cikin yanayi (Romawa 1:18-22), kuma an tabbatar da shi a cikin zuciyarmu (Mai-Wa’azi 3:11).","Die Bybel verklaar dat die bestaan van God duidelik in die heelal gesien kan word (Psalm 19:1-4), in die natuur waargeneem kan word (Romeine 1:18-22), en in ons harte bevestig word (Prediker 3:11)."
"3) ""Kada ka kama sunan Ubangiji Allahnka a banza, gama zan hukunta duk wanda ya kama sunana a banza.""",6) “Usiue.” Amri hii inapinga uuwaji wa wanadamu wengine.
"Ƙauna Allah ba ta ma'ana da rikici da tsarkinsa, daidaisa, adalcinsa, ko ma fushinsa.","Upendo wa Mungu kwa vyovyote vile haugongani/hitilafiana na utukufu wake, utakatifu na haki yake hata gadhabu yake."
"Idan ma'aurata suna yin maganin hana daukar ciki domin ragewa yara lokaci na dan lokaci har sai sun balaga kuma sun kasance masu tattalin kudi da ruhaniya, to watakila zai yiwu a yi amfani da maganin hana haihuwa na wani lokaci.","Ikiwa wanandoa watumia vizuia mimba ili kwa muda wakawishe kupata mtoto hadi pale wamekomaa na wamejitayarisha kifedha na kiroho, basi hiyo imekubalika kutumia vizuia mimba kwa muda."
Toma ya kira ga Yesu “Ya Ubangijina Allahna kuma” (Yahaya 20:28).,"Tomaso akamlilia Yesu Akisema, “Bwana wangu na Mungu wangu!” (Yohana 20:28)."
"Sabon Alkawari na Girka wanda ya yi daidai da lahira shine hades, wanda kuma yake nufin ""wurin matattu"" Sauran Nassosi a Sabon Alkawari sun nuna cewa lahira/hades wuri ne na ɗan lokaci, inda ake ajiye Rayuka yayin da suke jiran tashin matattu da hukunci na ƙarshe.","Linamaanisha “mahali pa wafu” au “mahali pa roho/mioyo iliyotuacha” Neno la kigiriki katika Agano Jipiya limetumika kusimamia ni “kuzumuni” ambalo pia lamaanisha “mahali pa wafu” maandiko mengine katika Agano Jipiya yanaonyesha kuwa “kuzumu” ni mahali pa muda, ambapo roho zinawekwa zinapongoja ufufuo na hukumu ya mwisho."
Duniya da mutane babu irinsu a halittar Allah.,Ardhi na wanadamu ni wa ajabu katika uumbaji wa Mungu.
"A wurin, yadda Yesu ke addu’a, Bitrus na barci.",Yesu alipokuwa akiomba Petro alilala.
"Kamar yadda labarin Littafi Mai Tsarki na shirin fansa na Allah don bil'adama ya bayyana, an bayyana halaye daban-daban a bayyane.","Kwa vile hadithi ya Bibilia ya mpango wa Mungu wa ukombozi kwa mwanadamu umefunuliwa, wahusika wengi wameelezewa."
"In dai babu tashin matattu, ashe, ba a tada Almasihu ba ke nan” (1 Korantiyawa 15:12-13).","Kama vile Mungu alivyofufua mwili wa Yesu, vivyo hivyo ndivyo miili yetu itakavyofufuliwa Yesu atakaporudi (Wakorintho wa kwanza 6:14)."
Yi addu'a cewa Allah zai canza zuciyarsu ya buɗe idanunsu ga gaskiyar bishara (2 Korantiyawa 4:4).,Bid dat God hulle harte moet verander en hulle oë moet oopmaak (2 Korintiërs 4:4) teenoor die waarheid van die evangelie.
"Ya kamata mu bar sanin gaba, zaɓe, da ƙaddara wani sashi ga Allah kuma a sauƙaƙa mu yi biyayya cikin raba Bishara.","Lazima tuache hekima yote, kuteuliwa na kusudia ziwe sehemu za Mungu na tuwe wanyenyekivu kwa kutangaza injili."
"Kusa da alaka da wannan da’awa na karshe, Yesu ne kuma aka ce shine “wanda zai yi wa rayayyu da matattu shari’a” (2Timoti 4:1).","Pamoja na haya Yesu ndiye atakayekuja, “kuhukumu wafu na walio hai” (Timotheo wa pili 4:1)."
Sun nuna gaskiyar cewa sakamakon wannan hukuncin daidai yake da wanda ake gani bayan babban farin kursiyin hukunci a cikin Wahayin Yahaya 20:11-15.,Hoja kwa pointi kwamba matunda ya hukumu yatakuwa yale yale kwa ile inayoonekana baada ya kiti cheupe cha hukumu katika Ufunuo 20:11-15.
